,Rk,Team,Payroll,Adj_Payroll,Year,Conference
12,13.,Indiana,74793526.0,80379271.0,2014/15,Eastern
13,14.,Golden State,73611166.0,79108608.0,2014/15,Western
14,15.,Sacramento,73379071.0,78859179.0,2014/15,Western
15,16.,Washington,73372974.0,78852628.0,2014/15,Eastern
16,17.,San Antonio,70770209.0,76055480.0,2014/15,Western
17,18.,Portland,69936842.0,75159876.0,2014/15,Western
18,19.,Minnesota,69378954.0,74560321.0,2014/15,Western
19,20.,Chicago,67414682.0,72449358.0,2014/15,Eastern
20,21.,Detroit,67410675.0,72445049.0,2014/15,Eastern
21,22.,Charlotte,66792937.0,71781177.0,2014/15,Eastern
22,23.,Boston,62218516.0,66865124.0,2014/15,Eastern
23,24.,Utah,60847538.0,65391761.0,2014/15,Western
24,25.,Orlando,59629210.0,64082446.0,2014/15,Eastern
25,26.,Atlanta,58320278.0,62675759.0,2014/15,Eastern
26,27.,Phoenix,58018672.0,62351628.0,2014/15,Western
27,28.,Denver,56820307.0,61063768.0,2014/15,Western
28,29.,Milwaukee,54473275.0,58541453.0,2014/15,Eastern
29,30.,Philadelphia,54355571.0,58414953.0,2014/15,Eastern
0,1.,Cleveland,108300458.0,116244698.0,2015/16,Eastern
1,2.,LA Clippers,97019321.0,104136046.0,2015/16,Western
2,3.,Oklahoma City,95708387.0,102728953.0,2015/16,Western
3,4.,Golden State,93669566.0,100540577.0,2015/16,Western
4,5.,San Antonio,87832839.0,94275703.0,2015/16,Western
5,6.,Houston,87504058.0,93922804.0,2015/16,Western
6,7.,Chicago,87073838.0,93461027.0,2015/16,Eastern
7,8.,Miami,85764781.0,92055943.0,2015/16,Eastern
8,9.,Washington,85055155.0,91294262.0,2015/16,Eastern
9,10.,New Orleans,83709371.0,89849758.0,2015/16,Western
10,11.,Memphis,83223881.0,89328654.0,2015/16,Western
11,12.,Brooklyn,80258302.0,86145542.0,2015/16,Eastern
12,13.,Detroit,77256014.0,82923025.0,2015/16,Eastern
13,14.,Boston,77141919.0,82800561.0,2015/16,Eastern
14,15.,Charlotte,76860006.0,82497971.0,2015/16,Eastern
15,16.,Dallas,75397067.0,80927720.0,2015/16,Western
16,17.,New York,74237021.0,79682579.0,2015/16,Eastern
17,18.,Milwaukee,73843541.0,79260236.0,2015/16,Eastern
18,19.,LA Lakers,72694352.0,78026750.0,2015/16,Western
19,20.,Denver,72589023.0,77913691.0,2015/16,Western
20,21.,Minnesota,72287243.0,77589778.0,2015/16,Western
21,22.,Atlanta,71661760.0,76918414.0,2015/16,Eastern
22,23.,Indiana,71605233.0,76857739.0,2015/16,Eastern
23,24.,Toronto,71591189.0,76842665.0,2015/16,Eastern
24,25.,Sacramento,70610560.0,75790104.0,2015/16,Western
25,26.,Phoenix,68095365.0,73090409.0,2015/16,Western
26,27.,Philadelphia,64583220.0,69320632.0,2015/16,Eastern
27,28.,Utah,63608425.0,68274335.0,2015/16,Western
28,29.,Orlando,63199651.0,67835576.0,2015/16,Eastern
29,30.,Portland,61685814.0,66210692.0,2015/16,Western
0,1.,Cleveland,128522489.0,136587864.0,2016/17,Eastern
1,2.,Portland,119732234.0,127245980.0,2016/17,Western
2,3.,LA Clippers,114756766.0,121958281.0,2016/17,Western
3,4.,San Antonio,112017779.0,119047406.0,2016/17,Western
4,5.,Memphis,110083520.0,116991763.0,2016/17,Western
5,6.,Toronto,108599970.0,115415114.0,2016/17,Eastern
6,7.,Detroit,106492988.0,113175909.0,2016/17,Eastern
7,8.,Orlando,104096951.0,110629512.0,2016/17,Eastern
8,9.,Washington,104016580.0,110544093.0,2016/17,Eastern
9,10.,Charlotte,103054004.0,109521112.0,2016/17,Eastern
10,11.,New York,102593418.0,109031624.0,2016/17,Eastern
11,12.,Dallas,102354966.0,108778205.0,2016/17,Western
12,13.,New Orleans,101616451.0,107993343.0,2016/17,Western
13,14.,Golden State,101584835.0,107959743.0,2016/17,Western
14,15.,Miami,100740770.0,107062710.0,2016/17,Eastern
15,16.,Atlanta,96315163.0,102359377.0,2016/17,Eastern
16,17.,Milwaukee,96245877.0,102285744.0,2016/17,Eastern
17,18.,Sacramento,95596327.0,101595433.0,2016/17,Western
18,19.,LA Lakers,94781848.0,100729840.0,2016/17,Western
19,20.,Boston,93465326.0,99330698.0,2016/17,Eastern
20,21.,Chicago,92522306.0,98328502.0,2016/17,Eastern
21,22.,Oklahoma City,91230089.0,96955191.0,2016/17,Western
22,23.,Houston,90956067.0,96663975.0,2016/17,Western
23,24.,Indiana,90279072.0,95944493.0,2016/17,Eastern
24,25.,Phoenix,89754590.0,95387098.0,2016/17,Western
25,26.,Philadelphia,84775343.0,90095374.0,2016/17,Eastern
26,27.,Denver,83836460.0,89097579.0,2016/17,Western
27,28.,Minnesota,83527580.0,88769315.0,2016/17,Western
28,29.,Brooklyn,82391482.0,87561919.0,2016/17,Eastern
29,30.,Utah,80138192.0,85167228.0,2016/17,Western
0,1.,Cleveland,137722926.0,144013233.0,2017/18,Eastern
1,2.,Golden State,137610134.0,143895289.0,2017/18,Western
2,3.,Oklahoma City,134534640.0,140679326.0,2017/18,Western
3,4.,Miami,133624374.0,139727484.0,2017/18,Eastern
4,5.,Washington,123306396.0,128938245.0,2017/18,Eastern
5,6.,New Orleans,120814452.0,126332484.0,2017/18,Western
6,7.,Milwaukee,120521249.0,126025887.0,2017/18,Eastern
7,8.,Houston,119905532.0,125382049.0,2017/18,Western
8,9.,Detroit,119773191.0,125243666.0,2017/18,Eastern
9,10.,LA Clippers,119093010.0,124532419.0,2017/18,Western
10,11.,Portland,118708146.0,124129975.0,2017/18,Western
11,12.,Charlotte,117382664.0,122743957.0,2017/18,Eastern
12,13.,Toronto,116929373.0,122269961.0,2017/18,Eastern
13,14.,Minnesota,116075131.0,121376702.0,2017/18,Western
14,15.,Boston,115284776.0,120550249.0,2017/18,Eastern
15,16.,San Antonio,114633844.0,119869587.0,2017/18,Western
16,17.,Memphis,110700149.0,115756221.0,2017/18,Western
17,18.,Denver,107543599.0,112455503.0,2017/18,Western
18,19.,Utah,105606838.0,110430283.0,2017/18,Western
19,20.,New York,105403130.0,110217272.0,2017/18,Eastern
20,21.,LA Lakers,103126557.0,107836717.0,2017/18,Western
21,22.,Philadelphia,100797386.0,105401164.0,2017/18,Eastern
22,23.,Atlanta,99992696.0,104559718.0,2017/18,Eastern
23,24.,Sacramento,99587185.0,104135688.0,2017/18,Western
24,25.,Orlando,99366925.0,103905370.0,2017/18,Eastern
25,26.,Brooklyn,95475397.0,99836100.0,2017/18,Eastern
26,27.,Indiana,95271736.0,99623136.0,2017/18,Eastern
27,28.,Phoenix,92684083.0,96917295.0,2017/18,Western
28,29.,Chicago,90466801.0,94598740.0,2017/18,Eastern
29,30.,Dallas,85440245.0,89342606.0,2017/18,Western
0,1.,Miami,153171497.0,155696495.0,2018/19,Eastern
1,2.,Golden State,146291276.0,148702858.0,2018/19,Western
2,3.,Oklahoma City,144916427.0,147305340.0,2018/19,Western
3,4.,Toronto,137793831.0,140065330.0,2018/19,Eastern
4,5.,Milwaukee,130988604.0,133147922.0,2018/19,Eastern
5,6.,Portland,130256600.0,132403851.0,2018/19,Western
6,7.,Detroit,126557932.0,128644207.0,2018/19,Eastern
7,8.,Houston,126474100.0,128558994.0,2018/19,Western
8,9.,Memphis,126107461.0,128186312.0,2018/19,Western
9,10.,Boston,125334993.0,127401110.0,2018/19,Eastern
10,11.,Washington,123747588.0,125787536.0,2018/19,Eastern
11,12.,New York,123387454.0,125421469.0,2018/19,Eastern
12,13.,Cleveland,123255073.0,125286901.0,2018/19,Eastern
13,14.,Minnesota,121962221.0,123972737.0,2018/19,Western
14,15.,San Antonio,121588790.0,123593153.0,2018/19,Western
15,16.,Charlotte,121427859.0,123429571.0,2018/19,Eastern
16,17.,Brooklyn,118850600.0,120809821.0,2018/19,Eastern
17,18.,Denver,118327016.0,120277610.0,2018/19,Western
18,19.,LA Clippers,118026816.0,119972458.0,2018/19,Western
19,20.,New Orleans,116052756.0,117965855.0,2018/19,Western
20,21.,Philadelphia,115127167.0,117025010.0,2018/19,Eastern
21,22.,Orlando,114394213.0,116279975.0,2018/19,Eastern
22,23.,Utah,113826156.0,115702554.0,2018/19,Western
23,24.,Chicago,112598201.0,114454351.0,2018/19,Eastern
24,25.,Indiana,110724804.0,112550074.0,2018/19,Eastern
25,26.,Phoenix,108692835.0,110484604.0,2018/19,Western
26,27.,LA Lakers,107225482.0,108993069.0,2018/19,Western
27,28.,Sacramento,101466920.0,103139575.0,2018/19,Western
28,29.,Dallas,86958881.0,88392374.0,2018/19,Western
29,30.,Atlanta,79180081.0,80485339.0,2018/19,Eastern
