,Rk,Team,Payroll,Adj_Payroll,Year,Conference
0,1.,Brooklyn,102589967.0,112536402.0,2013/14,Eastern
1,2.,New York,89072787.0,97708684.0,2013/14,Eastern
2,3.,Miami,80841617.0,88679476.0,2013/14,Eastern
3,4.,LA Lakers,77423614.0,84930083.0,2013/14,Western
4,5.,Dallas,75012158.0,82284830.0,2013/14,Western
5,6.,Chicago,73336893.0,80447143.0,2013/14,Eastern
6,7.,LA Clippers,73049774.0,80132187.0,2013/14,Western
7,8.,Golden State,72503122.0,79532534.0,2013/14,Western
8,9.,Memphis,71992885.0,78972831.0,2013/14,Western
9,10.,Oklahoma City,71653401.0,78600431.0,2013/14,Western
10,11.,Toronto,71561643.0,78499777.0,2013/14,Eastern
11,12.,Boston,70885503.0,77758083.0,2013/14,Eastern
12,13.,Minnesota,68564040.0,75211546.0,2013/14,Western
13,14.,New Orleans,67358651.0,73889290.0,2013/14,Western
14,15.,Indiana,67182414.0,73695967.0,2013/14,Eastern
15,16.,Cleveland,66654061.0,73116388.0,2013/14,Eastern
16,17.,Denver,65782065.0,72159850.0,2013/14,Western
17,18.,Washington,64698822.0,70971580.0,2013/14,Eastern
18,19.,San Antonio,63115911.0,69235205.0,2013/14,Western
19,20.,Detroit,62387432.0,68436097.0,2013/14,Eastern
20,21.,Portland,61260350.0,67199740.0,2013/14,Western
21,22.,Charlotte,60395651.0,66251205.0,2013/14,Eastern
22,23.,Sacramento,59174155.0,64911282.0,2013/14,Western
23,24.,Atlanta,58998677.0,64718790.0,2013/14,Eastern
24,25.,Houston,57823063.0,63429195.0,2013/14,Western
25,26.,Orlando,56948031.0,62469324.0,2013/14,Eastern
26,27.,Utah,56911999.0,62429802.0,2013/14,Western
27,28.,Phoenix,55569468.0,60957107.0,2013/14,Western
28,29.,Milwaukee,54400846.0,59675181.0,2013/14,Eastern
29,30.,Philadelphia,51741312.0,56757794.0,2013/14,Eastern
0,1.,Brooklyn,87817289.0,94375678.0,2014/15,Eastern
1,2.,LA Clippers,85259447.0,91626808.0,2014/15,Western
2,3.,Dallas,84820225.0,91154782.0,2014/15,Western
3,4.,Cleveland,82592827.0,88761039.0,2014/15,Eastern
4,5.,New York,81369219.0,87446049.0,2014/15,Eastern
5,6.,Toronto,81317963.0,87390965.0,2014/15,Eastern
6,7.,Oklahoma City,80408520.0,86413604.0,2014/15,Western
7,8.,New Orleans,80012866.0,85988398.0,2014/15,Western
8,9.,LA Lakers,77546500.0,83337839.0,2014/15,Western
9,10.,Houston,76849302.0,82588574.0,2014/15,Western
10,11.,Miami,75813041.0,81474926.0,2014/15,Eastern
11,12.,Memphis,75158730.0,80771746.0,2014/15,Western
