,Rank,Team,Wins Overall,Losses Overall,Wins Home,Losses Home,Wins Road,Losses Road,Perc_WinHome,Perc_LossHome,Perc_WinRoad,Perc_LossRoad,Year,difference
23,24,Detroit Pistons,27,55,17,24,10,31,41.46341463414634,58.536585365853654,24.390243902439025,75.60975609756098,2010,17.073170731707314
24,25,Philadelphia 76ers,27,55,12,29,15,26,29.268292682926827,70.73170731707317,36.58536585365854,63.41463414634146,2010,-7.31707317073171
25,26,Golden State Warriors,26,56,18,23,8,33,43.90243902439025,56.09756097560976,19.51219512195122,80.48780487804879,2010,24.39024390243903
26,27,Washington Wizards,26,56,15,26,11,30,36.58536585365854,63.41463414634146,26.82926829268293,73.17073170731707,2010,9.756097560975608
27,28,Sacramento Kings,25,57,18,23,7,34,43.90243902439025,56.09756097560976,17.073170731707318,82.92682926829268,2010,26.82926829268293
28,29,Minnesota Timberwolves,15,67,10,31,5,36,24.390243902439025,75.60975609756098,12.195121951219512,87.8048780487805,2010,12.195121951219512
29,30,Brooklyn Nets,12,70,8,33,4,37,19.51219512195122,80.48780487804879,9.75609756097561,90.2439024390244,2010,9.75609756097561
0,1,Chicago Bulls,62,20,36,5,26,15,87.8048780487805,12.195121951219512,63.41463414634146,36.58536585365854,2011,24.390243902439032
1,2,San Antonio Spurs,61,21,36,5,25,16,87.8048780487805,12.195121951219512,60.97560975609756,39.02439024390244,2011,26.829268292682933
2,3,Miami Heat,58,24,30,11,28,13,73.17073170731707,26.82926829268293,68.29268292682927,31.70731707317073,2011,4.878048780487802
3,4,Dallas Mavericks,57,25,29,12,28,13,70.73170731707317,29.268292682926827,68.29268292682927,31.70731707317073,2011,2.439024390243901
4,5,Los Angeles Lakers,57,25,30,11,27,14,73.17073170731707,26.82926829268293,65.85365853658537,34.146341463414636,2011,7.317073170731703
5,6,Boston Celtics,56,26,33,8,23,18,80.48780487804879,19.51219512195122,56.09756097560976,43.90243902439025,2011,24.390243902439032
6,7,Oklahoma City Thunder,55,27,30,11,25,16,73.17073170731707,26.82926829268293,60.97560975609756,39.02439024390244,2011,12.195121951219512
7,8,Orlando Magic,52,30,29,12,23,18,70.73170731707317,29.268292682926827,56.09756097560976,43.90243902439025,2011,14.634146341463413
8,9,Denver Nuggets,50,32,33,8,17,24,80.48780487804879,19.51219512195122,41.46341463414634,58.536585365853654,2011,39.02439024390245
9,10,Portland Trail Blazers,48,34,30,11,18,23,73.17073170731707,26.82926829268293,43.90243902439025,56.09756097560976,2011,29.268292682926827
10,11,Memphis Grizzlies,46,36,30,11,16,25,73.17073170731707,26.82926829268293,39.02439024390244,60.97560975609756,2011,34.146341463414636
11,12,New Orleans Pelicans,46,36,28,13,18,23,68.29268292682927,31.70731707317073,43.90243902439025,56.09756097560976,2011,24.390243902439025
12,13,Atlanta Hawks,44,38,24,17,20,21,58.536585365853654,41.46341463414634,48.78048780487805,51.21951219512195,2011,9.756097560975604
13,14,Houston Rockets,43,39,25,16,18,23,60.97560975609756,39.02439024390244,43.90243902439025,56.09756097560976,2011,17.073170731707314
14,15,New York Knicks,42,40,23,18,19,22,56.09756097560976,43.90243902439025,46.34146341463415,53.65853658536586,2011,9.756097560975611
15,16,Philadelphia 76ers,41,41,26,15,15,26,63.41463414634146,36.58536585365854,36.58536585365854,63.41463414634146,2011,26.829268292682926
16,17,Phoenix Suns,40,42,23,18,17,24,56.09756097560976,43.90243902439025,41.46341463414634,58.536585365853654,2011,14.63414634146342
17,18,Utah Jazz,39,43,21,20,18,23,51.21951219512195,48.78048780487805,43.90243902439025,56.09756097560976,2011,7.317073170731703
18,19,Indiana Pacers,37,45,24,17,13,28,58.536585365853654,41.46341463414634,31.70731707317073,68.29268292682927,2011,26.829268292682922
